system:index,ST_B10_max,date,.geo
2021_05_02,109.0,02-05-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_03,,03-05-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_04,107.0,04-05-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_05,,05-05-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_06,105.0,06-05-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_07,,07-05-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_08,,08-05-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_09,110.0,09-05-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_10,,10-05-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_11,,11-05-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_12,,12-05-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_13,106.0,13-05-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_14,,14-05-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_15,,15-05-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_16,,16-05-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_17,102.0,17-05-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_18,109.0,18-05-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_19,100.0,19-05-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_20,,20-05-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_21,,21-05-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_22,105.0,22-05-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_23,,23-05-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_24,103.0,24-05-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_25,,25-05-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_26,101.0,26-05-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
2021_05_27,108.0,27-05-2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
